word,tag
anusthu,kn
woww,en
staying,en
near,en
hostel,en
confirmed,en
faith,en
linked,en
gotila,kn
germany,en
irodhu,kn
estondh,kn
anside,kn
failure,en
motivation,kn
sadhne,kn
anstide,kn
aagidde,kn
jayanagarakke,kn
kaalitte,kn
gotthaythu,kn
kalkonde,kn
padkonde,kn
royal,en
touched,en
kodsi,kn
aadri,kn
hegilla,kn
maathadsodu,kn
whom,en
keen,en
observer,en
kamal,name
mohan,name
prakash,name
marlon,en
tom,en
bruce,name
intavrella,kn
sensitive,en
saying,en
tune,en
less,en
deserves,en
banner,en
narration,en
above,en
grandfather,en
association,en
benches,en
visit,en
cleaned,en
specs,en
forst,en
doung,en
doors,en
windows,en
body,en
immature,en
none,en
narrated,en
impressed,en
villainous,en
perseverance,en
daaali,kn
raani,kn
helidange,kn
successfully,en
bengalore,location
bandaga,kn
padtivi,kn
danajaya,kn
hega,kn
ale,kn
eroddhu,kn
yesto,kn
noderboddhu,kn
nodake,kn
msg,en
eddhe,kn
adarali,kn
haguthe,kn
yel,kn
nenapu,kn
whenever,en
possible,en
using,en
idana,kn
purthi,kn
santhosha,kn
anubavisidavaru,kn
nijavagalu,kn
ole,kn
chitrisidaru,kn
chithrake,kn
putti,kn
putty,kn
frnds,en
noditdamel,kn
savinenapugalanu,kn
marukalisida,kn
pictures,en
mattu,kn
tandakke,kn
preetiya,kn
five,en
bachelors,en
praveena,name
savinenapugalu,kn
pavitra,kn
raghavendra,name
citibank,en
titan,name
khadi,en
cambridge,en
shirts,en
dosa,en
katte,kn
purana,kn
vimana,kn
hattida,kn
iradudaredege,kn
tudivude,kn
mohana,name
murali,name
achievement,en
kusi,kn
dalliii,kn
reyal,en
heroo,en
attideeni,kn
kano,kn
aparichatarannu,kn
mathadisnodi,kn
anubava,kn
nammanthaha,kn
kalavidarige,kn
onthara,kn
spoorthi,kn
fill,en
idanna,kn
juz,en
vulgur,en
scenes,en
dialogue,en
ended,en
vid,en
emotionally,en
touchy,en
aim,en
agiththu,en
close,en
eeh,en
mel,kn
mariyadhe,kn
jaasthi,kn
aagbitte,kn
broh,en
kannida,kn
maathe,kn
barthilla,kn
nabikene,kn
nijavada,kn
broo,en
nannge,kn
kalasi,kn
suuuuuuuper,en
bhashe,kn
osmm,en
ankondidna,kn
madlebeku,kn
chala,kn
nodorella,kn
yavaga,kn
world,en
daly,en
ninne,kn
night,en
nodide,kn
early,en
pattu,kn
bandidare,kn
edu,kn
mix,en
nalakkane,kn
badavane,kn
madorige,kn
kiru,kn
enta,kn
nimminda,kn
paata,kn
raech,en
amdade,kn
aparictarannu,en-kn
matadisbeku,kn
kalite,kn
ohhh,en
kettavre,kn
bhavane,kn
horage,kn
barata,kn
computer,en
lab,en
viilan,en
charactor,en
wiil,en
belsi,kn
during,en
ivaaga,kn
vijaya,kn
remembering,en
almost,en
ಜಯನಗರದ,kn
ಬಹಳ,kn
helkoloke,kn
este,kn
sali,kn
maadidini,kn
aagle,kn
vision,en
blured,en
corner,en
weekly,en
twice,en
allige,kn
hoge,kn
maado,kn
geleya,kn
alike,en
jason,name
mamoa,other
helidh,kn
dari,kn
coming,en
jayanagr,location
kallu,kn
aspects,en
beginning,en
tailor,en
cutting,en
searching,en
visited,en
several,en
yrs,en
busstand,en
took,en
house,en
money,en
road,en
enjoyment,en
thn,en
taking,en
ice,en
cream,en
spending,en
evening,en
glitter,en
chairs,en
collected,en
nandhu,kn
nenp,kn
helok,kn
aagada,kn
yallanu,kn
kannalli,kn
ivath,kn
noddhe,kn
agirutthe,kn
magand,kn
gothe,kn
nijvalgu,kn
thuba,kn
chanagidhiya,kn
hirstayl,en
nandu,kn
palidey,kn
gida,kn
huvu,kn
bittaga,kn
nannu,kn
idhe,kn
alidini,kn
obne,kn
ondhe,kn
utthama,kn
manushynagi,kn
elar,kn
badukbeku,kn
sigtare,kn
sige,kn
tracing,en
unforgettable,en
nijakku,kn
suppper,en
disliked,en
nagarbhavi,kn
target,en
south,en
learning,en
century,en
agbekithu,kn
anisthu,kn
yage,kn
janmma,kn
needida,kn
keeruchitra,kn
concepts,en
circle,en
students,en
mittai,kn
soori,name
hyage,kn
ansto,kn
hottilla,kn
itu,kn
achu,kn
mechina,kn
aiyti,kn
ರವರ,kn
bugjet,kn
sulaba,kn
hardwork,en
shanthinagar,name
tamilan,other
kannadanu,en-kn
madodilla,kn
recommend,en
bindu,kn
nangoskara,kn
kudkondu,kn
business,en
sakthaididiya,kn
doddhu,kn
chanagi,kn
nodkotini,kn
viwed,en
opportunity,en
vinod,name
below,en
nem,kn
tilkolbeku,kn
esht,kn
nodudru,kn
bore,en
nodirthini,kn
madidini,kn
signature,en
noddaga,kn
